Date,Home Team,Away Team,Home Score,Away Score
2025-04-15T23:40:00Z,Minnesota Twins,New York Mets,6,3
2025-04-15T23:40:00Z,Chicago White Sox,Athletics,3,12
2025-04-15T23:40:00Z,Milwaukee Brewers,Detroit Tigers,5,0
2025-04-15T23:45:00Z,St. Louis Cardinals,Houston Astros,0,2
2025-04-16T00:05:00Z,Texas Rangers,Los Angeles Angels,4,0
2025-04-16T01:40:00Z,San Diego Padres,Chicago Cubs,1,2
2025-04-16T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,6,2
2025-04-16T17:07:00Z,Toronto Blue Jays,Atlanta Braves,3,1
2025-04-16T17:10:00Z,Minnesota Twins,New York Mets,4,3
2025-04-16T17:10:00Z,Milwaukee Brewers,Detroit Tigers,5,1
2025-04-16T17:15:00Z,St. Louis Cardinals,Houston Astros,4,1
2025-04-16T20:10:00Z,San Diego Padres,Chicago Cubs,4,2
2025-04-16T22:35:00Z,Baltimore Orioles,Cleveland Guardians,9,1
2025-04-16T22:40:00Z,Pittsburgh Pirates,Washington Nationals,6,1
2025-04-16T22:40:00Z,Cincinnati Reds,Seattle Mariners,3,5
2025-04-16T22:40:00Z,Miami Marlins,Arizona Diamondbacks,2,6
2025-04-16T22:45:00Z,Philadelphia Phillies,San Francisco Giants,4,11
2025-04-16T23:05:00Z,Tampa Bay Rays,Boston Red Sox,0,1
2025-04-16T23:05:00Z,New York Yankees,Kansas City Royals,4,3
2025-04-16T23:40:00Z,Chicago White Sox,Athletics,1,3
2025-04-17T00:05:00Z,Texas Rangers,Los Angeles Angels,3,1
2025-04-17T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,8,7
2025-04-17T16:10:00Z,Miami Marlins,Arizona Diamondbacks,4,6
2025-04-17T16:35:00Z,Pittsburgh Pirates,Washington Nationals,1,0
2025-04-17T16:40:00Z,Cincinnati Reds,Seattle Mariners,7,11
2025-04-17T18:10:00Z,Chicago White Sox,Athletics,0,8
2025-04-17T20:05:00Z,Philadelphia Phillies,San Francisco Giants,6,4
2025-04-17T22:35:00Z,Baltimore Orioles,Cleveland Guardians,6,2
2025-04-17T22:40:00Z,Detroit Tigers,Kansas City Royals,6,1
2025-04-17T23:05:00Z,Tampa Bay Rays,New York Yankees,3,6
2025-04-17T23:10:00Z,New York Mets,St. Louis Cardinals,4,1
2025-04-18T00:05:00Z,Texas Rangers,Los Angeles Angels,5,3
2025-04-18T18:20:00Z,Chicago Cubs,Arizona Diamondbacks,13,11
2025-04-18T22:40:00Z,Detroit Tigers,Kansas City Royals,7,3
2025-04-18T22:40:00Z,Pittsburgh Pirates,Cleveland Guardians,7,10
2025-04-18T22:45:00Z,Philadelphia Phillies,Miami Marlins,7,2
2025-04-18T23:05:00Z,Baltimore Orioles,Cincinnati Reds,3,8
2025-04-18T23:05:00Z,Tampa Bay Rays,New York Yankees,0,1
2025-04-18T23:07:00Z,Toronto Blue Jays,Seattle Mariners,3,1
2025-04-18T23:10:00Z,New York Mets,St. Louis Cardinals,5,4
2025-04-18T23:10:00Z,Boston Red Sox,Chicago White Sox,10,3
2025-04-18T23:15:00Z,Atlanta Braves,Minnesota Twins,6,4
2025-04-19T00:05:00Z,Texas Rangers,Los Angeles Dodgers,0,3
2025-04-19T00:10:00Z,Houston Astros,San Diego Padres,6,4
2025-04-19T00:10:00Z,Milwaukee Brewers,Athletics,5,3
2025-04-19T01:38:00Z,Los Angeles Angels,San Francisco Giants,2,0
2025-04-19T17:05:00Z,Philadelphia Phillies,Miami Marlins,11,10
2025-04-19T17:10:00Z,Detroit Tigers,Kansas City Royals,3,1
2025-04-19T18:20:00Z,Chicago Cubs,Arizona Diamondbacks,6,2
2025-04-19T19:07:00Z,Toronto Blue Jays,Seattle Mariners,4,8
2025-04-19T20:05:00Z,Baltimore Orioles,Cincinnati Reds,9,5
2025-04-19T20:05:00Z,Pittsburgh Pirates,Cleveland Guardians,0,3
2025-04-19T20:05:00Z,New York Mets,St. Louis Cardinals,3,0
2025-04-19T20:05:00Z,Texas Rangers,Los Angeles Dodgers,4,3
2025-04-19T20:10:00Z,Colorado Rockies,Washington Nationals,11,12
2025-04-19T20:10:00Z,Boston Red Sox,Chicago White Sox,4,3
2025-04-19T20:10:00Z,Tampa Bay Rays,New York Yankees,10,8
2025-04-19T23:10:00Z,Houston Astros,San Diego Padres,3,2
2025-04-19T23:10:00Z,Milwaukee Brewers,Athletics,1,3
2025-04-19T23:15:00Z,Atlanta Braves,Minnesota Twins,4,3
2025-04-20T01:38:00Z,Los Angeles Angels,San Francisco Giants,2,3
2025-04-20T17:35:00Z,Baltimore Orioles,Cincinnati Reds,2,24
2025-04-20T17:35:00Z,Pittsburgh Pirates,Cleveland Guardians,4,5
2025-04-20T17:35:00Z,Atlanta Braves,Minnesota Twins,6,2
2025-04-20T17:35:00Z,Boston Red Sox,Chicago White Sox,4,8
2025-04-20T17:35:00Z,Philadelphia Phillies,Miami Marlins,5,7
2025-04-20T17:37:00Z,Toronto Blue Jays,Seattle Mariners,3,8
2025-04-20T17:40:00Z,Detroit Tigers,Kansas City Royals,3,4
2025-04-20T17:40:00Z,New York Mets,St. Louis Cardinals,7,4
2025-04-20T17:40:00Z,Tampa Bay Rays,New York Yankees,0,4
2025-04-20T18:10:00Z,Milwaukee Brewers,Athletics,14,1
2025-04-20T18:20:00Z,Chicago Cubs,Arizona Diamondbacks,2,3
2025-04-20T18:35:00Z,Texas Rangers,Los Angeles Dodgers,0,1
2025-04-20T19:10:00Z,Colorado Rockies,Washington Nationals,2,3
2025-04-21T00:10:00Z,Colorado Rockies,Washington Nationals,3,1
2025-04-20T20:07:00Z,Los Angeles Angels,San Francisco Giants,5,4
2025-04-20T23:10:00Z,Houston Astros,San Diego Padres,2,3
2025-04-21T15:10:00Z,Boston Red Sox,Chicago White Sox,4,2
2025-04-21T22:10:00Z,Cleveland Guardians,New York Yankees,6,4
2025-04-21T22:40:00Z,Detroit Tigers,San Diego Padres,6,4
2025-04-21T22:40:00Z,Miami Marlins,Cincinnati Reds,6,3
2025-04-21T23:10:00Z,New York Mets,Philadelphia Phillies,5,4
2025-04-21T23:15:00Z,Atlanta Braves,St. Louis Cardinals,7,6
2025-04-22T00:10:00Z,Houston Astros,Toronto Blue Jays,7,0
2025-04-22T01:45:00Z,San Francisco Giants,Milwaukee Brewers,5,2
2025-04-22T22:10:00Z,Cleveland Guardians,New York Yankees,3,2
2025-04-22T22:40:00Z,Detroit Tigers,San Diego Padres,0,2
2025-04-22T22:40:00Z,Miami Marlins,Cincinnati Reds,4,3
2025-04-22T22:45:00Z,Washington Nationals,Baltimore Orioles,7,0
2025-04-22T22:45:00Z,Boston Red Sox,Seattle Mariners,8,3
2025-04-22T23:10:00Z,New York Mets,Philadelphia Phillies,5,1
2025-04-22T23:15:00Z,Atlanta Braves,St. Louis Cardinals,4,10
2025-04-22T23:40:00Z,Kansas City Royals,Colorado Rockies,4,3
2025-04-22T23:40:00Z,Chicago Cubs,Los Angeles Dodgers,11,10
2025-04-22T23:40:00Z,Minnesota Twins,Chicago White Sox,4,2
2025-04-23T00:10:00Z,Houston Astros,Toronto Blue Jays,5,1
2025-04-23T01:38:00Z,Los Angeles Angels,Pittsburgh Pirates,3,9
